Id_exclusiva;Id;EDT;Nível_da_estrutura_de_tópicos;Nome;Dashboard;Porcentagem_Prev_LB;Porcentagem_Prev_Real
0;0;0;0;Cronograma Operacional - PFBT01 2025;;93,87;75,94
1;1;1;1;Parada Fria da Usina 1;;93,87;75,94
98;2;1.1;2;Corte da Produção;;100;100
474;3;1.2;2;Procedimentos de Parada;;100;100
475;4;1.2.1;3;Pátio de Alimentação;;100,01;100,01
5;5;1.2.1.1;4;Cortar Produção do Pátio de Finos (Parar Pátio Vazio);S;100;100
6;6;1.2.1.2;4;Posicionar Recuperadora na Baliza para Limpeza (Fora da Área de Manutenção);N;100;100
9;7;1.2.1.3;4;Bloquear e Realizar Limpeza Geral 1PA11;N;100;100
10;8;1.2.1.4;4;Esvaziar e Limpar Chutes do Circuito de Alimentação (Transportadores de Correia e Chutes);S;100;100
16;9;1.2.1.5;4;Posicionar Emenda das Correias Conforme Necessidade;S;100;100
14;10;1.2.1.6;4;Desbloquear e Transladar 1PA11 para Baliza de Manutenção;N;100;100
17;11;1.2.1.7;4;Realizar Bloqueio da 1PA11;N;100;100
18;12;1.2.1.8;4;Realizar Bloqueio do Circuito do Pátio de Finos;S;100;100
13055;13;1.2.2;3;Secagem;;100;100
13056;14;1.2.2.1;4;Esvaziar Silo 1SM2SI;N;100;100
13057;15;1.2.2.2;4;Esvaziar Secador 1SM5SC;N;100;100
13058;16;1.2.2.3;4;Realizar Limpeza do Filtro de Manga 1SM20FM;N;100;100
13059;17;1.2.2.4;4;Desligar e Resfriar Queimadores 1SM6GG;S;100;100
13060;18;1.2.2.5;4;Realizar Purga do Gás do Queimador;S;100;100
13097;19;1.2.2.6;4;Esvaziar Circuito da Secagem (Chutes de Trasnferência e Correias);N;100;100
13061;20;1.2.2.7;4;Realizar Bloqueio da Secagem;S;100;100
7749;21;1.2.3;3;Torre de Resfriamento;;100;100
13085;22;1.2.3.1;4;TR301TR (Forno / Ventiladores);S;100;100
13109;23;1.2.3.1.1;5;Desligar Bomba TR303;;100;100
13112;24;1.2.3.1.2;5;Instalar Mangote de Água para Alimentar Supervisório do CCO 1 e 4;;100;100
13086;25;1.2.3.1.3;5;Esvaziar Torre de Resfriamento;;100;100
13087;26;1.2.3.1.4;5;Realizar Bloqueio;;100;100
13088;27;1.2.3.1.5;5;Montar Andaime;;100;100
13089;28;1.2.3.1.6;5;Realizar Limpeza da Torre TR301TR;;100;100
481;29;1.2.4;3;Mistura;;100;100
13068;30;1.2.4.1;4;Esvaziar Silos BV100SI e BV101SI;N;100;100
13098;31;1.2.4.2;4;Esvaziar Caixa do AZ110FM;S;100;100
161;32;1.2.4.3;4;Esvaziar Misturador AZ05MI e Circuito de Correias;S;100;100
164;33;1.2.4.4;4;Realizar Bloqueio da Mistura;S;100;100
480;34;1.2.5;3;Briquetagem;;100;100
184;35;1.2.5.1;4;Esvaziar Silos AG100SI / AG101SI / AG102SI;S;100;100
11990;36;1.2.5.2;4;Esvaziar Briquetadeiras AG71RB / AG74RB / AG77RB;S;100;100
181;37;1.2.5.3;4;Esvaziar Circuito de Correias da Briquetagem;N;100;100
13069;38;1.2.5.4;4;Realizar Bloqueio da Briquetagem;S;100;100
11983;39;1.2.5.5;4;Procedimento de Limpeza da Peneira de Rolos Concluído;N;100;100
479;40;1.2.6;3;Forno;;100;100
217;41;1.2.6.1;4;Esvaziar Grelha do Forno;S;100;100
11981;42;1.2.6.2;4;Realizar Limpeza dos Motores da Peneira de Rolos;S;100;100
13099;43;1.2.6.3;4;Corte de Produção do Forno;S;100;100
209;44;1.2.6.4;4;Realizar Procedimento para Não Utilizar NR20 na Região do Forno;N;100;100
213;45;1.2.6.5;4;Realizar Resfriamento Forçado até a Temperatura Ambiente (AH30VT em Abertura Mínima / AH47VT / AH93VT / AH34VT);S;100;100
562;46;1.2.6.6;4;Realizar Bloqueio na Chave de Comando Local da Grelha do Forno para Retirar as Proteções Laterais;N;100;100
561;47;1.2.6.7;4;Retirar Proteções Laterais / Corrimão ao Longo do Forno e Levantar Selagens Superiores;S;100;100
560;48;1.2.6.8;4;Realizar Desbloqueio na Chave de Comando Local da Grelha do Forno;N;100;100
576;49;1.2.6.9;4;Cangar Todos os Carros de Grelha da Parte Superior da Grelha;S;100;100
786;50;1.2.6.10;4;Retirar Carros de Grelha das Rodas de Levantamento e Abaixamento (14 Carros);S;100;100
573;51;1.2.6.11;4;Bloquear Chave A3 para Passar Cabo de Aço;N;100;100
11991;52;1.2.6.12;4;Passar Cabo de Aço na Região Inferior;S;100;100
571;53;1.2.6.13;4;Desbloquear Chave A3 para Passar Cabo de Aço;N;100;100
570;54;1.2.6.14;4;Retirar Todos os Carros de Grelha da Região Superior - Carga (57 Carros);S;100;100
7822;55;1.2.6.15;4;Realizar Limpeza dos Trilhos Superiores, Selagens Inferiores e Vigas de Apoio e Colunas Superiores com Hidrojato;S;100;100
13070;56;1.2.6.16;4;Bloquear Chave A3 para Instalação de Batente Mecânico;N;100;100
13071;57;1.2.6.17;4;Instalar e Bloquear com Batente Mecânico na Região Superior (próx. Abaixamento e próx. Levantamento);S;100;100
13072;58;1.2.6.18;4;Desbloquear Chave A3 para Instalação de Batente Mecânico;N;100;100
7823;59;1.2.6.19;4;Meio do Forno Região Superior Liberada para Manutenção;N;100;100
13074;60;1.2.6.20;4;Retirar Todos os Carros de Grelha da Região Inferior (58 Carros);S;100;100
13075;61;1.2.6.21;4;Realizar Limpeza dos Trilhos Inferiores, Vigas de Apoio e Colunas Inferiores com Hidrojato;S;100;100
567;62;1.2.6.22;4;Retirada de Carros Grelhas Concluída;N;100;100
596;63;1.2.6.23;4;Procedimento de Limpeza da Manutenção Roda Levantamento;S;100;100
599;64;1.2.6.23.1;5;Realizar Limpeza da Roda de Levantamento;;100;100
598;65;1.2.6.23.2;5;Realizar Limpeza das Selagem Basculantes;;100;100
7826;66;1.2.6.23.3;5;Realizar Bloqueio do Elétrico do Forno;;100;100
602;67;1.2.6.24;4;Roda de Levantamento Liberada para Manutenção;N;100;100
579;68;1.2.6.25;4;Procedimento de Limpeza da Manutenção da Roda de Abaixamento;S;100;100
584;69;1.2.6.25.1;5;Realizar Limpeza do Chute Móvel, Chute Rotativo, Calhas Laterais e Silo da Descarga do Forno;;100;100
585;70;1.2.6.26;4;Roda de Abaixamento Liberada para Manutenção;N;100;100
7838;71;1.2.6.27;4;Procedimento de Limpeza das Caixas de Vento;S;100;100
7843;72;1.2.6.27.1;5;Abrir Caixas de Vento e Tubulões;;100;100
7842;73;1.2.6.27.2;5;Montar Andaimes para Limpeza das Caixas de Vento;;100;100
7841;74;1.2.6.27.3;5;Realizar Limpeza Operacional das Caixas de Vento e Tubulão;;100;100
8820;75;1.2.6.28;4;Caixas de Ventos Liberadas para Manutenção;N;100;100
478;76;1.2.7;3;Ventiladores;;100;100
323;77;1.2.7.1;4;Realizar Bloqueio Elétrico AR81 (Ambiental);S;100;100
304;78;1.2.7.2;4;Realizar Bloqueio Elétrico AH33 (Queima para Secagem Descendente);S;100;100
282;79;1.2.7.3;4;Realizar Bloqueio Elétrico AH34 (Secagem Descendente para PP AR1);S;100;100
